縣市,郵遞區號,鄉鎮區,Latitude,Longitude,英文,藍新金流
基隆市,200,基隆市仁愛區,25.1187161,121.7451927,"Ren'ai Dist., Keelung City",基市
基隆市,201,基隆市信義區,25.1284336,121.7822278,"Xinyi Dist., Keelung City",基市
基隆市,202,基隆市中正區,25.1489988,121.7736823,"Zhongzheng Dist., Keelung City",基市
基隆市,203,基隆市中山區,25.152587,121.7252457,"Zhongshan Dist., Keelung City",基市
基隆市,204,基隆市安樂區,25.1474144,121.7024448,"Anle Dist., Keelung City",基市
基隆市,205,基隆市暖暖區,25.0836163,121.748042,"Nuannuan Dist., Keelung City",
基隆市,206,基隆市七堵區,25.1143924,121.685341,"Qidu Dist., Keelung City",
台北市,100,台北市中正區,25.0421407,121.5198716,"Zhongzheng Dist., Taipei City",北市
台北市,103,台北市大同區,25.0627243,121.5113064,"Datong Dist., Taipei City",北市
台北市,104,台北市中山區,25.0792018,121.5427093,"Zhongshan Dist., Taipei City",北市
台北市,105,台北市松山區,25.0541591,121.5638621,"Songshan Dist., Taipei City",北市
台北市,106,台北市大安區,25.0249441,121.5433783,"Da'an Dist., Taipei City",北市
台北市,108,台北市萬華區,25.0262857,121.4970294,"Wanhua Dist., Taipei City",北市
台北市,110,台北市信義區,25.0409201,121.5720055,"Xinyi Dist., Taipei City",北市
台北市,111,台北市士林區,25.0950492,121.5246077,"Shilin Dist., Taipei City",北市
台北市,112,台北市北投區,25.1151759,121.515018,"Beitou Dist., Taipei City",北市
台北市,114,台北市內湖區,25.0689422,121.5909027,"Neihu Dist., Taipei City",北市
台北市,115,台北市南港區,25.0312347,121.6111949,"Nangang Dist., Taipei City",北市
台北市,116,台北市文山區,24.9929212,121.57125,"Wenshan Dist., Taipei City",北市
新北市,207,新北市萬里區,25.1676024,121.6397184,"Wanli Dist., New Taipei City",新北市
新北市,208,新北市金山區,25.2223616,121.6367773,"Jinshan Dist., New Taipei City",新北市
新北市,220,新北市板橋區,25.0114095,121.4618415,"Banqiao Dist., New Taipei City",新北市
新北市,221,新北市汐止區,25.0616059,121.6397184,"Xizhi Dist., New Taipei City",新北市
新北市,222,新北市深坑區,25.0033792,121.6169002,"Shenkeng Dist., New Taipei City",新北市
新北市,223,新北市石碇區,25.0098662,121.6452827,"Shiding Dist., New Taipei City",新北市
新北市,224,新北市瑞芳區,25.103052,121.822098,"Ruifang Dist., New Taipei City",新北市
新北市,226,新北市平溪區,25.0248314,121.7408654,"Pingxi Dist., New Taipei City",新北市
新北市,227,新北市雙溪區,24.9971842,121.822098,"Shuangxi Dist., New Taipei City",新北市
新北市,228,新北市貢寮區,25.0168762,121.9459786,"Gongliao Dist., New Taipei City",新北市
新北市,231,新北市新店區,24.978282,121.5394822,"Xindian Dist., New Taipei City",新北市
新北市,232,新北市坪林區,24.9350844,121.7107613,"Pinglin Dist., New Taipei City",新北市
新北市,233,新北市烏來區,24.8663721,121.5497801,"Wulai Dist., New Taipei City",新北市
新北市,234,新北市永和區,25.0103251,121.5145353,"Yonghe Dist., New Taipei City",新北市
新北市,235,新北市中和區,24.9962178,121.4853103,"Zhonghe Dist., New Taipei City",新北市
新北市,236,新北市土城區,24.968371,121.438034,"Tucheng Dist., New Taipei City",新北市
新北市,237,新北市三峽區,24.9358605,121.3744903,"Sanxia Dist., New Taipei City",新北市
新北市,238,新北市樹林區,24.9815605,121.4198606,"Shulin Dist., New Taipei City",新北市
新北市,239,新北市鶯歌區,24.9614967,121.3427262,"Yingge Dist., New Taipei City",新北市
新北市,241,新北市三重區,25.0614534,121.4867114,"Sanchong Dist., New Taipei City",新北市
新北市,242,新北市新莊區,25.0265985,121.4178347,"Xinzhuang Dist., New Taipei City",新北市
新北市,243,新北市泰山區,25.0581641,121.4327919,"Taishan Dist., New Taipei City",新北市
新北市,244,新北市林口區,25.0790108,121.3881378,"Linkou Dist., New Taipei City",新北市
新北市,247,新北市蘆洲區,25.0868908,121.4715241,"Luzhou Dist., New Taipei City",新北市
新北市,248,新北市五股區,25.0848317,121.4386586,"Wugu Dist., New Taipei City",新北市
新北市,249,新北市八里區,25.1443896,121.3983016,"Bali Dist., New Taipei City",新北市
新北市,251,新北市淡水區,25.1719805,121.4433706,"Tamsui Dist., New Taipei City",新北市
新北市,252,新北市三芝區,25.2593452,121.5024341,"Sanzhi Dist., New Taipei City",新北市
新北市,253,新北市石門區,25.2908277,121.5671383,"Shimen Dist., New Taipei City",新北市
桃園市,320,桃園市中壢區,24.9721514,121.2053963,"Zhongli City, Taoyuan County",桃市
桃園市,324,桃園市平鎮區,24.9296022,121.2053963,"Pingzhen City, Taoyuan County",桃市
桃園市,325,桃園市龍潭區,24.8444927,121.2053963,"Longtan Township, Taoyuan County",桃市
桃園市,326,桃園市楊梅區,24.9242108,121.1366715,"Yangmei City, Taoyuan County",桃市
桃園市,327,桃園市新屋區,24.9826597,121.067907,"Xinwu Township, Taoyuan County",桃市
桃園市,328,桃園市觀音區,25.0359365,121.1137544,"Guanyin Township, Taoyuan County",桃市
桃園市,330,桃園市桃園區,24.9934099,121.2969674,"Taoyuan City, Taoyuan County",桃市
